Domain queried,Query_Packet_Creation_s,Wait_for_Encrypted_Response_s,Response_Decryption_and_Verification_s,Total_Time_s
quic.aiortc.org,0.000404,0.318367,0.000610,0.319381
quic.aiortc.org,0.000638,0.387816,0.000474,0.388928
quic.aiortc.org,0.000569,0.347719,0.000470,0.348759
quic.aiortc.org,0.000582,0.331489,0.000454,0.332525
quic.aiortc.org,0.000500,0.351992,0.000413,0.352906
quic.aiortc.org,0.000461,0.343263,0.000501,0.344225
quic.aiortc.org,0.000620,0.245057,0.000444,0.246120
quic.aiortc.org,0.000616,0.336498,0.000521,0.337635
quic.aiortc.org,0.000598,0.333059,0.000441,0.334099
quic.aiortc.org,0.000616,0.340236,0.000509,0.341361
quic.aiortc.org,0.000617,0.230140,0.000419,0.231176
quic.aiortc.org,0.000559,0.344977,0.000468,0.346004
quic.aiortc.org,0.000572,0.241793,0.000519,0.242883
quic.aiortc.org,0.000616,0.334556,0.000474,0.335646
quic.aiortc.org,0.000616,0.402703,0.000469,0.403787
quic.aiortc.org,0.000535,0.339819,0.000469,0.340823
quic.aiortc.org,0.000627,0.358001,0.000451,0.359078
quic.aiortc.org,0.000623,0.318553,0.000442,0.319618
quic.aiortc.org,0.000613,0.326411,0.000512,0.327535
quic.aiortc.org,0.000628,0.274071,0.000450,0.275150
quic.aiortc.org,0.000613,0.345838,0.000447,0.346898
quic.aiortc.org,0.000571,0.275572,0.000399,0.276542
quic.aiortc.org,0.000581,0.421734,0.000440,0.422755
quic.aiortc.org,0.000571,0.323921,0.000475,0.324966
quic.aiortc.org,0.000582,0.365798,0.000489,0.366868
quic.aiortc.org,0.000618,0.418168,0.000451,0.419237
quic.aiortc.org,0.000584,0.237087,0.000480,0.238151
quic.aiortc.org,0.000611,0.284654,0.000489,0.285753
quic.aiortc.org,0.000588,0.340684,0.000513,0.341785
quic.aiortc.org,0.000618,0.299111,0.000449,0.300178
quic.aiortc.org,0.000453,0.310678,0.000425,0.311556
quic.aiortc.org,0.000623,0.241723,0.000450,0.242795
quic.aiortc.org,0.000620,0.390084,0.000469,0.391173
quic.aiortc.org,0.000623,0.331506,0.000462,0.332590
quic.aiortc.org,0.000577,0.266348,0.000446,0.267371
quic.aiortc.org,0.000576,0.262753,0.000437,0.263766
quic.aiortc.org,0.000533,0.355905,0.000455,0.356892
quic.aiortc.org,0.000570,0.230297,0.000446,0.231313
quic.aiortc.org,0.000623,0.323231,0.000473,0.324327
quic.aiortc.org,0.000620,0.282631,0.000496,0.283746
quic.aiortc.org,0.000609,0.318125,0.000447,0.319181
quic.aiortc.org,0.000581,0.242037,0.000463,0.243082
quic.aiortc.org,0.000457,0.261750,0.000460,0.262667
quic.aiortc.org,0.000591,0.382802,0.000465,0.383858
quic.aiortc.org,0.000615,0.245566,0.000475,0.246656
quic.aiortc.org,0.000623,0.244652,0.000510,0.245785
quic.aiortc.org,0.000624,0.304804,0.000441,0.305869
quic.aiortc.org,0.000624,0.318549,0.000515,0.319687
quic.aiortc.org,0.000592,0.340426,0.000483,0.341501
quic.aiortc.org,0.000598,0.246229,0.000448,0.247275
quic.aiortc.org,0.000585,0.336040,0.000460,0.337085
quic.aiortc.org,0.000572,0.379782,0.000507,0.380860
quic.aiortc.org,0.000625,0.327582,0.000510,0.328718
quic.aiortc.org,0.000571,0.277706,0.000480,0.278758
quic.aiortc.org,0.000619,0.436556,0.000510,0.437685
quic.aiortc.org,0.000609,0.246791,0.000504,0.247905
quic.aiortc.org,0.000596,0.356065,0.000453,0.357113
quic.aiortc.org,0.000625,0.261297,0.000505,0.262427
quic.aiortc.org,0.000627,0.349427,0.000468,0.350523
quic.aiortc.org,0.000631,0.340812,0.000506,0.341949
quic.aiortc.org,0.000613,0.282461,0.000481,0.283555
quic.aiortc.org,0.000604,0.318539,0.000470,0.319613
quic.aiortc.org,0.000566,0.224202,0.000453,0.225221
quic.aiortc.org,0.000561,0.235080,0.000450,0.236091
quic.aiortc.org,0.000597,0.388052,0.000474,0.389122
quic.aiortc.org,0.000525,0.402331,0.000447,0.403303
quic.aiortc.org,0.000580,0.240787,0.000447,0.241814
quic.aiortc.org,0.000581,0.282013,0.000510,0.283104
quic.aiortc.org,0.000618,0.271118,0.000442,0.272178
quic.aiortc.org,0.000540,0.245740,0.000440,0.246720
quic.aiortc.org,0.000575,0.267651,0.000448,0.268675
quic.aiortc.org,0.000573,0.234966,0.000499,0.236037
quic.aiortc.org,0.000616,0.343362,0.000469,0.344448
quic.aiortc.org,0.000507,0.245451,0.000396,0.246354
quic.aiortc.org,0.000587,0.282347,0.000460,0.283394
quic.aiortc.org,0.000528,0.249467,0.000444,0.250440
quic.aiortc.org,0.000581,0.283841,0.000452,0.284874
quic.aiortc.org,0.000576,0.328366,0.000440,0.329381
quic.aiortc.org,0.000453,0.237381,0.000447,0.238281
quic.aiortc.org,0.000533,0.244437,0.000452,0.245422
quic.aiortc.org,0.000562,0.337369,0.000428,0.338359
quic.aiortc.org,0.000626,0.363749,0.000502,0.364877
quic.aiortc.org,0.000632,0.318220,0.000412,0.319265
quic.aiortc.org,0.000537,0.242043,0.000502,0.243081
quic.aiortc.org,0.000667,0.273629,0.000465,0.274761
quic.aiortc.org,0.000640,0.243037,0.000448,0.244126
quic.aiortc.org,0.000679,0.235214,0.000494,0.236387
