Query_Type,Client_Query_Receive_Prep_s,Upstream_Connection_Establishment_s,Upstream_Query_Transmission_Setup_s,Wait_for_Upstream_Encrypted_Response_s,Client_Response_Transmit_Setup_s,TOTAL_Time_s
ENCRYPTED_QUERY,0.000108,0.014056,0.000062,0.106153,0.000252,0.504740
ENCRYPTED_QUERY,0.000163,0.010206,0.000053,0.124144,0.000273,0.577987
ENCRYPTED_QUERY,0.000155,0.012833,0.000059,0.291045,0.000259,1.322192
ENCRYPTED_QUERY,0.000202,0.014209,0.000077,0.141039,0.000328,0.669293
ENCRYPTED_QUERY,0.000114,0.013821,0.000057,0.049121,0.000218,0.263295
ENCRYPTED_QUERY,0.000187,0.013895,0.000068,0.117236,0.000267,0.566899
ENCRYPTED_QUERY,0.000167,0.012907,0.000066,0.049012,0.000375,0.263690
ENCRYPTED_QUERY,0.000089,0.013431,0.000055,0.121419,0.000256,0.579527
ENCRYPTED_QUERY,0.000089,0.012796,0.000056,0.047676,0.000226,0.257752
ENCRYPTED_QUERY,0.000155,0.012215,0.000060,0.060186,0.000238,0.310880
ENCRYPTED_QUERY,0.000203,0.012965,0.000053,0.045404,0.000290,0.245853
ENCRYPTED_QUERY,0.000091,0.012871,0.000056,0.059826,0.000244,0.313035
ENCRYPTED_QUERY,0.000086,0.012182,0.000056,0.059513,0.000238,0.307019
ENCRYPTED_QUERY,0.000147,0.012854,0.000055,0.045287,0.000270,0.248519
ENCRYPTED_QUERY,0.000087,0.012557,0.000059,0.058606,0.000217,0.304392
ENCRYPTED_QUERY,0.000086,0.013227,0.000057,0.051861,0.000209,0.278286
ENCRYPTED_QUERY,0.000088,0.012709,0.000061,0.052161,0.000279,0.276192
ENCRYPTED_QUERY,0.000150,0.012491,0.000060,0.054725,0.000245,0.287535
ENCRYPTED_QUERY,0.000151,0.012187,0.000053,0.058558,0.000236,0.302114
ENCRYPTED_QUERY,0.000145,0.012421,0.000058,0.045730,0.000188,0.247288
ENCRYPTED_QUERY,0.000163,0.014171,0.000056,0.045846,0.000208,0.252184
ENCRYPTED_QUERY,0.000147,0.012175,0.000053,0.053234,0.000188,0.278562
ENCRYPTED_QUERY,0.000147,0.014512,0.000055,0.046568,0.000220,0.264361
ENCRYPTED_QUERY,0.000091,0.011810,0.000053,0.045894,0.000198,0.243822
ENCRYPTED_QUERY,0.000152,0.012167,0.000053,0.056243,0.000242,0.292813
ENCRYPTED_QUERY,0.000085,0.011456,0.000055,0.060927,0.000192,0.306530
ENCRYPTED_QUERY,0.000085,0.012436,0.000068,0.053918,0.000165,0.282369
ENCRYPTED_QUERY,0.000088,0.012706,0.000051,0.053316,0.000203,0.283208
ENCRYPTED_QUERY,0.000087,0.012315,0.000053,0.061741,0.000242,0.317402
ENCRYPTED_QUERY,0.000086,0.013138,0.000058,0.052291,0.000251,0.279733
ENCRYPTED_QUERY,0.000144,0.012067,0.000054,0.050040,0.000237,0.263473
ENCRYPTED_QUERY,0.000100,0.011934,0.000054,0.050230,0.000224,0.263370
